id,chart,hardness,avg_inference_time,total_inference_time,inference_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
4,Pie,Medium,25.9771,103.9082,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,2.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
4,Pie,Medium,25.9771,103.9082,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,2.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
4,Pie,Medium,25.9771,103.9082,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,2.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
5,Bar,Medium,18.074,90.37,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,3.0,2.4,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
5,Bar,Medium,18.074,90.37,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,3.0,2.4,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
5,Bar,Medium,18.074,90.37,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,3.0,2.4,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
8,Pie,Easy,5.6757,17.0271,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
8,Pie,Easy,5.6757,17.0271,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
8,Pie,Easy,5.6757,17.0271,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
9,Bar,Easy,5.8319,11.6637,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
9,Bar,Easy,5.8319,11.6637,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
9,Bar,Easy,5.8319,11.6637,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
14,Pie,Easy,5.579,11.158,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
14,Pie,Easy,5.579,11.158,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
14,Pie,Easy,5.579,11.158,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
21,Pie,Medium,9.9811,19.9622,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
21,Pie,Medium,9.9811,19.9622,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
21,Pie,Medium,9.9811,19.9622,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
32,Bar,Medium,11.2044,33.6131,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
32,Bar,Medium,11.2044,33.6131,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
32,Bar,Medium,11.2044,33.6131,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
33,Pie,Easy,6.6801,26.7206,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,4.0,2.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
33,Pie,Easy,6.6801,26.7206,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,4.0,2.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
33,Pie,Easy,6.6801,26.7206,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,4.0,2.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
34,Bar,Easy,6.4767,32.3835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8,2.8,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
34,Bar,Easy,6.4767,32.3835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8,2.8,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
34,Bar,Easy,6.4767,32.3835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8,2.8,False,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
35,Pie,Medium,11.746,11.746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
35,Pie,Medium,11.746,11.746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,gpt-4o-mini
