id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
4,Pie,Medium,8.6272,34.5088,4,4763,1216,5979,1190.75,304.0,1494.75,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
5,Bar,Medium,8.2858,41.4291,5,5956,1474,7430,1191.2,294.8,1486.0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
8,Pie,Easy,6.6873,20.0619,3,2728,710,3438,909.3333,236.6667,1146.0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
9,Bar,Easy,7.2718,14.5435,2,1822,519,2341,911.0,259.5,1170.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
14,Pie,Easy,6.3939,12.7878,2,1821,455,2276,910.5,227.5,1138.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
21,Pie,Medium,6.5092,13.0184,2,1819,464,2283,909.5,232.0,1141.5,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
32,Bar,Medium,9.2249,27.6747,3,4069,978,5047,1356.3333,326.0,1682.3333,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
33,Pie,Easy,5.5689,22.2755,4,4264,790,5054,1066.0,197.5,1263.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
34,Bar,Easy,6.2686,31.3428,5,5326,1097,6423,1065.2,219.4,1284.6,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
35,Pie,Medium,10.2939,10.2939,1,1354,367,1721,1354.0,367.0,1721.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
