id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
4,Pie,Medium,6.5795,26.318,4,21538,3050,24588,5384.5,762.5,6147.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
5,Bar,Medium,6.4465,32.2324,5,26927,3777,30704,5385.4,755.4,6140.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
8,Pie,Easy,1.9363,5.8088,3,14465,647,15112,4821.6667,215.6667,5037.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
9,Bar,Easy,1.9228,3.8455,2,9650,428,10078,4825.0,214.0,5039.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
14,Pie,Easy,1.8378,3.6755,2,9648,408,10056,4824.0,204.0,5028.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
21,Pie,Medium,2.8419,5.6837,2,9644,653,10297,4822.0,326.5,5148.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
32,Bar,Medium,3.777,11.3311,3,17144,1282,18426,5714.6667,427.3333,6142.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
33,Pie,Easy,1.851,7.4041,4,20536,828,21364,5134.0,207.0,5341.0,4,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
34,Bar,Easy,1.8714,9.3569,5,25662,1029,26691,5132.4,205.8,5338.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
35,Pie,Medium,3.2576,3.2576,1,5710,373,6083,5710.0,373.0,6083.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
36,Bar,Medium,3.2215,6.4429,2,11396,734,12130,5698.0,367.0,6065.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
37,Pie,Medium,5.6203,11.2406,2,12884,1284,14168,6442.0,642.0,7084.0,2,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
46,Pie,Easy,2.1031,4.2062,2,8906,477,9383,4453.0,238.5,4691.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
54,Pie,Hard,7.9227,15.8455,2,13681,1857,15538,6840.5,928.5,7769.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
55,Bar,Hard,9.7027,19.4054,2,15971,2273,18244,7985.5,1136.5,9122.0,2,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
62,Scatter,Easy,2.0691,4.1383,2,9708,457,10165,4854.0,228.5,5082.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
63,Pie,Medium,2.1313,8.525,4,19380,958,20338,4845.0,239.5,5084.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
64,Bar,Medium,2.2138,6.6414,3,14526,748,15274,4842.0,249.3333,5091.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
65,Bar,Hard,4.8503,9.7006,2,10256,1119,11375,5128.0,559.5,5687.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
68,Bar,Hard,11.1005,22.2009,2,14194,2620,16814,7097.0,1310.0,8407.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
69,Bar,Hard,4.3311,8.6621,2,10566,988,11554,5283.0,494.0,5777.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
72,Bar,Hard,11.0107,22.0214,2,16233,2559,18792,8116.5,1279.5,9396.0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
74,Bar,Easy,2.1215,12.7291,6,28558,1365,29923,4759.6667,227.5,4987.1667,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
77,Bar,Hard,3.987,7.9739,2,10590,911,11501,5295.0,455.5,5750.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
