id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
4,Pie,Medium,0.465,1.8601,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
5,Bar,Medium,0.4344,2.1719,5,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
8,Pie,Easy,0.2955,0.8866,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
9,Bar,Easy,0.2926,0.5852,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
14,Pie,Easy,0.3006,0.6012,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
21,Pie,Medium,0.3666,0.7332,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
32,Bar,Medium,0.4568,1.3703,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
33,Pie,Easy,0.3002,1.201,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
34,Bar,Easy,0.2967,1.4836,5,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
35,Pie,Medium,0.4472,0.4472,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
36,Bar,Medium,0.3376,0.6752,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
37,Pie,Medium,0.5329,1.0658,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
46,Pie,Easy,1.2182,2.4365,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
54,Pie,Hard,0.848,1.696,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
55,Bar,Hard,0.8361,1.6721,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
62,Scatter,Easy,0.3097,0.6193,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
63,Pie,Medium,0.3968,1.5872,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
64,Bar,Medium,0.3866,1.1599,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
65,Bar,Hard,0.6619,1.3237,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
68,Bar,Hard,2.9866,5.9731,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
69,Bar,Hard,1.4438,2.8877,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
72,Bar,Hard,10.5162,21.0324,2,0,0,0,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
74,Bar,Easy,1.4183,8.5097,6,0,0,0,,,,0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
77,Bar,Hard,3.349,6.698,2,0,0,0,,,,0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
81,Pie,Hard,0.6471,2.5883,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
86,Bar,Easy,6.0782,12.1564,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
93,Pie,Medium,0.3786,1.5144,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
94,Bar,Medium,0.3842,1.5369,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
95,Pie,Easy,0.3327,0.9982,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
96,Bar,Easy,0.3731,1.1192,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
98,Bar,Medium,0.493,0.493,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
103,Pie,Hard,12.9255,25.8511,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
120,Bar,Medium,1.5485,1.5485,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
131,Pie,Medium,2.8453,2.8453,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
138,Pie,Medium,0.4883,0.9766,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
146,Stacked Bar,Hard,3.6498,3.6498,1,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
150,Pie,Medium,0.5047,0.5047,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
158,Bar,Hard,10.4695,10.4695,1,0,0,0,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
163,Line,Hard,1.0651,1.0651,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
173,Pie,Medium,0.4418,0.4418,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
175,Scatter,Medium,6.7367,20.2102,3,0,0,0,,,,0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
186,Bar,Medium,2.3638,2.3638,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
189,Stacked Bar,Extra Hard,9.0818,36.3273,4,0,0,0,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
194,Stacked Bar,Extra Hard,3.2031,3.2031,1,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
195,Stacked Bar,Extra Hard,6.8809,6.8809,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
196,Stacked Bar,Extra Hard,7.5752,37.8759,5,0,0,0,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
201,Stacked Bar,Extra Hard,7.8405,39.2024,5,0,0,0,,,,0,0.8,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
