id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,quality_score,readability_score,is_multi_table,text_model,vision_model
4,Pie,Medium,6.811,27.2441,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
5,Bar,Medium,7.6316,38.1581,5,0,0,0,,,,0,0.0,0.2,0.0,0.8,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
8,Pie,Easy,1.9865,5.9596,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
9,Bar,Easy,1.978,3.9559,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
14,Pie,Easy,1.8789,3.7578,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
21,Pie,Medium,2.9045,5.8091,2,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
32,Bar,Medium,3.7488,11.2465,3,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
33,Pie,Easy,2.7571,11.0284,4,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
34,Bar,Easy,2.5483,12.7416,5,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
35,Pie,Medium,3.2913,3.2913,1,0,0,0,,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
