id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
4,Pie,Medium,11.1361,44.5444,4,21009,1536,22545,5252.25,384.0,5636.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
5,Bar,Medium,11.0321,55.1607,5,26311,1963,28274,5262.2,392.6,5654.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
8,Pie,Easy,4.9433,14.8299,3,14465,499,14964,4821.6667,166.3333,4988.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
9,Bar,Easy,4.6351,9.2702,2,9650,328,9978,4825.0,164.0,4989.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
14,Pie,Easy,5.0376,10.0753,2,9648,357,10005,4824.0,178.5,5002.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
21,Pie,Medium,6.4794,12.9589,2,9644,461,10105,4822.0,230.5,5052.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
32,Bar,Medium,11.1024,33.3073,3,16249,1172,17421,5416.3333,390.6667,5807.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
33,Pie,Easy,6.2225,24.8899,4,20536,881,21417,5134.0,220.25,5354.25,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
34,Bar,Easy,6.0022,30.0109,5,25662,1066,26728,5132.4,213.2,5345.6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
35,Pie,Medium,9.5894,9.5894,1,5361,340,5701,5361.0,340.0,5701.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
36,Bar,Medium,10.4119,20.8238,2,10757,739,11496,5378.5,369.5,5748.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,None
