id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
4,Pie,Medium,13.9179,55.6717,4,21413,1729,23142,5353.25,432.25,5785.5,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
5,Bar,Medium,13.1597,65.7984,5,26875,2077,28952,5375.0,415.4,5790.4,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
8,Pie,Easy,5.5907,16.7722,3,14465,526,14991,4821.6667,175.3333,4997.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
9,Bar,Easy,5.7244,11.4487,2,9650,360,10010,4825.0,180.0,5005.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
14,Pie,Easy,5.4863,10.9727,2,9648,345,9993,4824.0,172.5,4996.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
21,Pie,Medium,9.8869,19.7737,2,9644,625,10269,4822.0,312.5,5134.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
32,Bar,Medium,11.0696,33.2087,3,17144,1041,18185,5714.6667,347.0,6061.6667,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
33,Pie,Easy,6.5122,26.0488,4,20536,820,21356,5134.0,205.0,5339.0,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
34,Bar,Easy,6.3546,31.773,5,25662,1000,26662,5132.4,200.0,5332.4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
35,Pie,Medium,11.6216,11.6216,1,5710,366,6076,5710.0,366.0,6076.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
36,Bar,Medium,5.7698,11.5395,2,11396,361,11757,5698.0,180.5,5878.5,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
37,Pie,Medium,13.1412,26.2824,2,9758,830,10588,4879.0,415.0,5294.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
46,Pie,Easy,5.6597,11.3193,2,8906,356,9262,4453.0,178.0,4631.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-14B-Instruct,None
54,Pie,Hard,17.2121,34.4241,2,10519,1086,11605,5259.5,543.0,5802.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
55,Bar,Hard,16.2503,32.5006,2,10448,1026,11474,5224.0,513.0,5737.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-14B-Instruct,None
